dataset,requests,runs,rel/request,subtopics/request
core (2017),50,75,180.4,0
core (2018),50,72,78.96,0
deep-docs (2019),43,38,153.42,0
deep-docs (2020),45,64,39.27,0
deep-pass (2019),43,37,95.40,0
deep-pass (2020),54,59,66.78,0
web (2009),50,48,129.98,4.98
web (2010),48,32,187.63,4.17
web (2011),50,62,167.56,3.36
web (2012),50,48,187.36,3.90
web (2013),50,61,182.42,3.18
web (2014),50,30,212.58,3.12
robust,249,110,69.93,0
ml-1M,6005,21,18.87,0
libraryThing,7227,21,13.15,0
beerAdvocate,17564,21,13.66,0