dataset,rpp,dcgrpp,invrpp,ap,ndcg,rr
core (2017),54.13,53.66,45.26,34.13,36.54,9.55
core (2018),55.59,53.99,48.63,35.84,40.18,21.91
deep-docs (2019),49.64,44.81,37.27,28.45,36.13,4.84
deep-docs (2020),18.01,19.15,17.36,14.34,15.58,0.50
deep-pass (2019),43.99,45.05,42.34,24.17,23.72,1.65
deep-pass (2020),51.49,54.59,55.93,34.83,33.31,18.35
web (2009),34.22,37.06,36.70,15.25,34.04,19.50
web (2010),52.22,45.16,30.04,22.58,31.25,13.71
web (2011),54.42,49.60,35.64,32.36,40.93,6.98
web (2012),44.59,39.98,24.47,22.25,32.45,10.64
web (2013),59.24,51.26,23.01,25.52,40.82,2.51
web (2014),59.31,56.09,38.16,51.49,62.30,13.10
robust,65.00,62.29,54.21,44.82,49.34,16.21
ml-1M,96.19,95.71,96.19,91.43,94.29,85.71
libraryThing,98.57,98.10,98.57,94.29,96.67,92.38
beerAdvocate,95.24,95.24,95.71,91.43,95.71,91.90